physical address,number of rooms,area of apartment,number of floors,apartment floor,price,repair,bathroom,view from the windows,terrace,year of construction,elevator,type of house,parking,link
"Москва, Дубнинская ул., 40Ак2",3,73.5 м²,32,4,22500000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",балкон,2007.0,2,монолитный,"подземная, за шлагбаумом во дворе",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_735_m_432_et._3847927642?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Давыдковская ул., 3",3,121.1 м²,43,26,68700000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",,2004.0,1,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1211_m_2643_et._4323089754?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Старобитцевская ул., 21к1",1,41 м²,14,10,12500000,косметический,раздельный,"на улицу, на солнечную сторону",лоджия,1991.0,2,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_41_m_1014_et._4611633651?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-й Хвостов пер., 3Ас2",студия,18.3 м²,6,2,17500000,дизайнерский,совмещенный,во двор,,,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_183_m_26_et._4778224238?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Василия Ланового, 1к2",1,414 м²,41,33,24900000,дизайнерский,совмещенный,"на улицу, на солнечную сторону",,2023.0,3,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_414_m_3341_et._4530885542?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Крузенштерна, 12к2",3,74.4 м²,16,16,31990000,требует ремонта,совмещенный,"во двор, на улицу, на солнечную сторону",,2023.0,2,монолитно-кирпичный,"подземная, наземная многоуровневая, открытая во дворе",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_744_m_1616_et._4558705193?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ангелов пер., 11",3,74 м²,17,16,17900000,требует ремонта,раздельный,во двор,лоджия,1993.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_74_m_1617_et._4580885190?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Люблинская ул., 76к5",2,69.9 м²,24,17,16049040,косметический,раздельный,,лоджия,2021.0,1,монолитный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/auktsion_2-k._kvartira_699_m_1724_et._4465205005?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пос. Московский, дер. Саларьево, ул. Саларьевская, д. 9",1,31.8 м²,17,4,7135100,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_318_m_417_et._4382266707?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Ильменский проезд, стр. 1, корп. 1",студия,22.6 м²,32,7,7900000,,совмещенный,на улицу,,,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_226_m_732_et._4403887476?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
