physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;type of house;parking
Москва, Ленинградский пр-т, 34;Количество комнат : 2;Общая площадь : 42.8 м²;7;3;4322300000;https://www.avito.ru/moskva/kvartiry/2-k._kvartira_428_m_37_et._4730180121?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : совмещенный;Окна : во двор;Балкон или лоджия : балкон;Год постройки : 1962;Пассажирский лифт : 1;Тип дома : кирпичный;Парковка : открытая во дворе, за шлагбаумом во дворе
Москва, ул. Мельникова, 2;Количество комнат : 2;Общая площадь : 56.7 м²;15;12;9141124359000;https://www.avito.ru/moskva/kvartiry/2-k._kvartira_567_m_1215_et._4086383560?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : совмещенный;Окна : на улицу;Балкон или лоджия : лоджия;Год постройки : 2022;Пассажирский лифт : 1;Тип дома : монолитный;Парковка : подземная
Москва, Зеленоград, к814;Количество комнат : студия;Общая площадь : 16.6 м²;9;6;255540000;https://www.avito.ru/moskva_zelenograd/kvartiry/kvartira-studiya_166_m_69_et._4590001874?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : евро;Санузел : совмещенный;Окна : на улицу;;Год постройки : 1973;Пассажирский лифт : 2;Тип дома : панельный;Парковка : открытая во дворе
Москва, Зеленоград, к814;Количество комнат : студия;Общая площадь : 21.1 м²;9;5;256510000;https://www.avito.ru/moskva_zelenograd/kvartiry/kvartira-studiya_211_m_59_et._3662540981?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : евро;Санузел : совмещенный;Окна : во двор;;Год постройки : 1973;Пассажирский лифт : 2;Тип дома : панельный;Парковка : открытая во дворе
Москва, Хорошёвское ш., 25Ак1;Количество комнат : 1;Общая площадь : 38 м²;24;11;9141133000000;https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_1124_et._4149629029?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : совмещенный;Окна : во двор;Балкон или лоджия : лоджия;Год постройки : 2023;Пассажирский лифт : 1;Тип дома : монолитный;Парковка : подземная
Москва, Зеленоград, к814;Количество комнат : студия;Общая площадь : 16.1 м²;9;5;255425000;https://www.avito.ru/moskva_zelenograd/kvartiry/kvartira-studiya_161_m_59_et._4589666677?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : евро;Санузел : совмещенный;Окна : на улицу;;Год постройки : 1973;Пассажирский лифт : 2;Тип дома : панельный;Парковка : открытая во дворе
Москва, Зеленоград, к814;Количество комнат : студия;Общая площадь : 16.6 м²;9;5;255480000;https://www.avito.ru/moskva_zelenograd/kvartiry/kvartira-studiya_166_m_59_et._4590158125?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : евро;Санузел : совмещенный;Окна : на улицу;;;Пассажирский лифт : 2;Тип дома : панельный;Парковка : открытая во дворе
Москва, Перекопская ул., 30к2;Количество комнат : 2;Общая площадь : 53.6 м²;17;3;1420790000;https://www.avito.ru/moskva/kvartiry/2-k._kvartira_536_m_317_et._4340853902?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : евро;Санузел : раздельный;Окна : во двор;Балкон или лоджия : балкон;Год постройки : 1976;Пассажирский лифт : 1;Тип дома : панельный;Парковка : открытая во дворе
ул. Производственная, д. 17;Количество комнат : 2;Общая площадь : 36.1 м²;24;5;76490100;https://www.avito.ru/moskva/kvartiry/2-k._kvartira_361_m_524_et._4509848006?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;;;;;;;Тип дома : монолитный;
ул. Илимская, вл. 3/5;Количество комнат : 2;Общая площадь : 64.3 м²;25;11;754584618990000;https://www.avito.ru/moskva/kvartiry/2-k._kvartira_643_m_1125_et._3453204635?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;;Санузел : раздельный;Окна : во двор, на улицу, на солнечную сторону;Балкон или лоджия : лоджия;;Пассажирский лифт : 2;Тип дома : монолитный;Парковка : за шлагбаумом во дворе
